Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,
02/06/2023,57,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,36,.,57,
03/06/2023,44,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,44,.,21,
04/06/2023,48,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,48,5,33,
05/06/2023,42,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,42,4,29,
06/06/2023,104,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,32,.,104,
07/06/2023,60,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,42,.,60,
08/06/2023,52,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,28,.,52,
09/06/2023,58,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,35,19,58,
10/06/2023,40,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,40,6,29,
11/06/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,34,.,31,
12/06/2023,49,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,33,.,49,
01/07/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,34,.,22,
02/07/2023,53,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,44,.,53,
03/07/2023,41,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,41,1,20,
04/07/2023,45,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,45,.,25,
05/07/2023,41,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,41,.,27,
06/07/2023,71,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,24,.,71,
07/07/2023,52,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,41,.,52,
08/07/2023,42,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,.,6,42,
09/07/2023,53,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,36,.,53,
10/07/2023,38,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,38,.,20,
11/07/2023,45,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,37,.,45,
12/07/2023,52,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,32,.,52,
01/08/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,34,.,26,
02/08/2023,48,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,40,4,48,
03/08/2023,39,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,39,.,23,
04/08/2023,45,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,45,.,27,
05/08/2023,46,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,46,.,30,
06/08/2023,23,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,16,1,23,
07/08/2023,36,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,36,8,36,
08/08/2023,19,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,.,.,19,
09/08/2023,39,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,35,.,39,
10/08/2023,33,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,33,.,12,
11/08/2023,30,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,30,2,12,
12/08/2023,59,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,28,6,59,
01/09/2023,49,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,30,5,49,
02/09/2023,55,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,41,.,55,
03/09/2023,36,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,36,.,34,
04/09/2023,45,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,45,3,34,
05/09/2023,54,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,46,9,54,
06/09/2023,29,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,19,.,29,
07/09/2023,38,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,34,.,38,
08/09/2023,49,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,.,.,49,
09/09/2023,18,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,18,5,18,
10/09/2023,31,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,31,2,13,
11/09/2023,33,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,33,.,23,
12/09/2023,56,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,36,.,56,
01/10/2023,31,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,31,.,25,
02/10/2023,36,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,34,.,36,
03/10/2023,46,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,.,6,46,
04/10/2023,64,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,64,.,41,
05/10/2023,48,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,46,.,48,
06/10/2023,37,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,29,.,37,
07/10/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,34,.,19,
08/10/2023,56,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,.,12,56,
09/10/2023,20,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,15,.,20,
10/10/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,34,.,23,
11/10/2023,29,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,29,.,21,
12/10/2023,55,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,37,.,55,
01/11/2023,54,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,30,.,54,
02/11/2023,42,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,42,1,21,
03/11/2023,44,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,44,.,41,
04/11/2023,80,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,80,.,54,
05/11/2023,53,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,45,.,53,
06/11/2023,53,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,37,8,53,
07/11/2023,41,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,41,9,40,
08/11/2023,38,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,38,.,38,
09/11/2023,24,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,13,.,24,
10/11/2023,33,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,33,.,26,
11/11/2023,31,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,31,1,14,
12/11/2023,33,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,33,0,13,
01/12/2023,39,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,32,3,39,
02/12/2023,47,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,42,.,47,
03/12/2023,55,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,46,.,55,
04/12/2023,61,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,61,5,29,
05/12/2023,54,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,54,9,43,
06/12/2023,77,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,77,.,74,
07/12/2023,53,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,41,.,53,
08/12/2023,39,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,39,.,33,
09/12/2023,27,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,24,5,27,
10/12/2023,22,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,22,3,19,
11/12/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,34,.,24,
12/12/2023,36,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,36,.,19,
01/01/2024,21,PM2.5,East HS,39-153-0017,AQS,.,6,21,,
02/01/2024,54,PM2.5,East HS,39-153-0017,AirNow,.,15,54,,
03/01/2024,33,Ozone,Lake Rockwell,39-133-1001,AQS,33,14,32,,
04/01/2024,42,PM2.5,East HS,39-153-0017,AQS,37,10,42,,
05/01/2024,61,Ozone,Lake Rockwell,39-133-1001,AQS,61,19,35,,
06/01/2024,80,Ozone,Lake Rockwell,39-133-1001,AQS,80,17,52,,
07/01/2024,34,Ozone,Lake Rockwell,39-133-1001,AQS,34,6,14,,
08/01/2024,54,Ozone,Lake Rockwell,39-133-1001,AQS,54,14,43,,
09/01/2024,47,Ozone,Lake Rockwell,39-133-1001,AQS,47,14,46,,
10/01/2024,31,Ozone,Lake Rockwell,39-133-1001,AQS,31,9,22,,
